chengyu,pinyin,english_definition,category,sub_category
一如既往,yì rú jì wǎng,(idiom) just as in the past; as before; continuing as always,数字成语 Digital idioms,
一丝不苟,yī sī bù gǒu,not one thread loose (idiom); strictly according to the rules/meticulous/not one hair out of place,数字成语 Digital idioms,
一言难尽,yī yán nán jìn,hard to explain in a few words (idiom); complicated and not easy to express succinctly,数字成语 Digital idioms,
一衣带水,yī yī dài shuǐ,(separated only by) a narrow strip of water,数字成语 Digital idioms,
一朝一夕,yī zhāo yī xī,lit. one morning and one evening (idiom)/fig. in a short period of time/overnight,数字成语 Digital idioms,
一针见血,yī zhēn jiàn xiě,lit. to draw blood on the first prick (idiom)/fig. to hit the nail on the head,数字成语 Digital idioms,
一知半解,yī zhī bàn jiě,lit. to know one and understand half (idiom); a smattering of knowledge/dilettante/amateur,数字成语 Digital idioms,
一表人才,yī biǎo rén cái,,数字成语 Digital idioms,
一波三折,yī bō sān zhé,calligraphic flourish with many twists/fig. many twists and turns,数字成语 Digital idioms,
一步登天,yī bù dēng tiān,reaching heaven in a single bound (idiom); (esp. with negative: don't expect) instant success,数字成语 Digital idioms,
一筹莫展,yī chóu mò zhǎn,to be unable to find a solution/to be at wits' end,数字成语 Digital idioms,
一触即发,yī chù jí fā,could happen at any moment/on the verge,数字成语 Digital idioms,
一刀两断,yì dāo liǎng duàn,(idiom) to make a clean break with; to have nothing more to do with,数字成语 Digital idioms,
一技之长,yī jì zhī cháng,proficiency in a particular field (idiom)/skill in a specialized area (idiom),数字成语 Digital idioms,
一蹶不振,yī jué bù zhèn,"one stumble, unable to rise (idiom); a setback leading to total collapse/ruined at a stroke/unable to recover after a minor hitch",数字成语 Digital idioms,
一劳永逸,yì láo yǒng yì,to get sth done once and for all,数字成语 Digital idioms,
一鸣惊人,yì míng jīng rén,to amaze the world with a single brilliant feat (idiom); an overnight celebrity,数字成语 Digital idioms,
一念之差,yī niàn zhī chā,momentary slip/false step/ill-considered action,数字成语 Digital idioms,
一贫如洗,yī pín rú xǐ,penniless,数字成语 Digital idioms,
一气呵成,yī qì hē chéng,to do something at one go/to flow smoothly,数字成语 Digital idioms,
一清二白,yī qīng èr bái,perfectly clean/blameless/unimpeachable (idiom),数字成语 Digital idioms,
一扫而空,yī sǎo ér kōng,to sweep clean/to clean out,数字成语 Digital idioms,
一息尚存,yī xī shàng cún,,数字成语 Digital idioms,
一相情愿,yī xiāng qíng yuàn,one's own wishful thinking,数字成语 Digital idioms,
略胜一筹,lüè shèng yī chóu,slightly better/a cut above,数字成语 Digital idioms,
两败俱伤,liǎng bài jù shāng,both sides suffer (idiom)/neither side wins,数字成语 Digital idioms,
两虎相斗,liǎng hǔ xiāng dòu,two tigers fight (idiom); fig. a dispute between two powerful adversaries/a battle of the giants,数字成语 Digital idioms,
两面三刀,liǎng miàn sān dāo,"two-faced, three knives (idiom); double-cross/double dealing and back stabbing",数字成语 Digital idioms,
两全其美,liǎng quán qí měi,to satisfy rival demands (idiom)/to get the best of both worlds/to have it both ways/to have one's cake and eat it too,数字成语 Digital idioms,
两小无猜,liǎng xiǎo wú cāi,innocent playmates,数字成语 Digital idioms,
两袖清风,liǎng xiù qīng fēng,lit. both sleeves flowing in the breeze (idiom); having clean hands/uncorrupted/unsoiled by corrupt practices,数字成语 Digital idioms,
进退两难,jìn tuì liǎng nán,no room to advance or to retreat (idiom); without any way out of a dilemma/trapped/in an impossible situation,数字成语 Digital idioms,
三长两短,sān cháng liǎng duǎn,unexpected misfortune/unexpected accident/sudden death,数字成语 Digital idioms,
三顾茅庐,sān gù máo lú,lit. to make three visits to the thatched cottage (idiom) (allusion to an episode in Romance of the Three Kingdoms 三國演義|三国演义[San1 guo2 Yan3 yi4] in which Liu Bei 劉備|刘备[Liu2 Bei4] recruits Zhuge Liang 諸葛亮|诸葛亮[Zhu1 ge3 Liang4] to his cause by visiting him three times)/fig. to make earnest and repeated requests of sb,数字成语 Digital idioms,
三令五申,sān lìng wǔ shēn,to order again and again (idiom),数字成语 Digital idioms,
三生有幸,sān shēng yǒu xìng,the blessing of three lifetimes (idiom)/(courteous language) it's my good fortune...,数字成语 Digital idioms,
三思而行,sān sī ér xíng,think three times then go (idiom); don't act before you've thought it through carefully,数字成语 Digital idioms,
三头六臂,sān tóu liù bì,lit. to have three heads and six arms (idiom)/fig. to possess remarkable abilities/a being of formidable powers,数字成语 Digital idioms,
三心二意,sān xīn èr yì,in two minds about sth (idiom)/half-hearted/shilly-shallying,数字成语 Digital idioms,
三言两语,sān yán liǎng yǔ,in a few words (idiom); expressed succinctly,数字成语 Digital idioms,
半夜三更,bàn yè sān gēng,in the depth of night/late at night,数字成语 Digital idioms,
入木三分,rù mù sān fēn,written in a forceful hand/penetrating/profound,数字成语 Digital idioms,
火冒三丈,huǒ mào sān zhàng,to get really angry,数字成语 Digital idioms,
三天打鱼，两天晒网,sān tiān dǎ yú ， liǎng tiān shài wǎng,lit. to fish for three days and sun-dry the nets for two days (proverb)/fig. not to persevere in doing sth/to do sth by fits and starts,数字成语 Digital idioms,
四海为家,sì hǎi wéi jiā,"to regard the four corners of the world all as home (idiom)/to feel at home anywhere/to roam about unconstrained/to consider the entire country, or world, to be one's own",数字成语 Digital idioms,
四分五裂,sì fēn wǔ liè,all split up and in pieces (idiom); disunity (in an organization)/complete lack of unity/to disintegrate/falling apart/to be at sixes and sevens,数字成语 Digital idioms,
四面楚歌,sì miàn chǔ gē,"lit. on all sides, the songs of Chu (idiom)/fig. surrounded by enemies, isolated and without help",数字成语 Digital idioms,
四通八达,sì tōng bā dá,roads open in all directions (idiom); accessible from all sides,数字成语 Digital idioms,
四平八稳,sì píng bā wěn,everything steady and stable (idiom); overcautious and unimaginary,数字成语 Digital idioms,
危机四伏,wēi jī sì fú,danger lurks on every side (idiom),数字成语 Digital idioms,
四海升平　五彩缤纷,sì hǎi shēng píng \u3000 wǔ cǎi bīn fēn,,数字成语 Digital idioms,
五光十色,wǔ guāng shí sè,(idiom) bright and multicolored; of rich variety; dazzling; glitzy,数字成语 Digital idioms,
五湖四海,wǔ hú sì hǎi,all parts of the country,数字成语 Digital idioms,
五花八门,wǔ huā bā mén,myriad/all kinds of/all sorts of,数字成语 Digital idioms,
五颜六色,wǔ yán liù sè,multicolored/every color under the sun,数字成语 Digital idioms,
五体投地,wǔ tǐ tóu dì,to prostrate oneself in admiration (idiom); to adulate sb,数字成语 Digital idioms,
五脏六腑,wǔ zàng liù fǔ,five viscera and six bowels (TCM),数字成语 Digital idioms,
五谷丰登,wǔ gǔ fēng dēng,abundant harvest of all food crops/bumper grain harvest,数字成语 Digital idioms,
学富五车,xué fù wǔ chē,of great erudition and scholarship (idiom),数字成语 Digital idioms,
五雷轰顶,wǔ léi hōng dǐng,,数字成语 Digital idioms,
六神无主,liù shén wú zhǔ,out of one's wits (idiom)/distracted/stunned,数字成语 Digital idioms,
六亲无靠,liù qīn wú kào,orphaned of all one's immediate relatives (idiom); no one to rely on/left to one's own devices,数字成语 Digital idioms,
六月飞霜,liù yuè fēi shuāng,,数字成语 Digital idioms,
六根清净,liù gēn qīng jìng,,数字成语 Digital idioms,
七零八落,qī líng bā luò,(idiom) everything broken and in disorder,数字成语 Digital idioms,
七拼八凑,qī pīn bā còu,assembled at random/a motley collection,数字成语 Digital idioms,
七上八下,qī shàng bā xià,at sixes and sevens/perturbed state of mind/in a mess,数字成语 Digital idioms,
七手八脚,qī shǒu bā jiǎo,(idiom) with everyone lending a hand (eagerly but somewhat chaotically),数字成语 Digital idioms,
七嘴八舌,qī zuǐ bā shé,lively discussion with everybody talking at once,数字成语 Digital idioms,
七窍生烟,qī qiào shēng yān,lit. spouting smoke through the seven orifices (idiom)/fig. to seethe with anger,数字成语 Digital idioms,
七情六欲,qī qíng liù yù,various emotions and desires,数字成语 Digital idioms,
八面威风,bā miàn wēi fēng,,数字成语 Digital idioms,
半斤八两,bàn jīn bā liǎng,not much to choose between the two/tweedledum and tweedledee,数字成语 Digital idioms,
胡说八道,hú shuō bā dào,to talk rubbish,数字成语 Digital idioms,
八仙过海，各显神通,bā xiān guò hǎi ， gè xiǎn shén tōng,"lit. the Eight Immortals cross the sea, each showing his own special talent (idiom)/fig. (of each individual in a group) to give full play to one's unique capabilities",数字成语 Digital idioms,
九死一生,jiǔ sǐ yì shēng,nine deaths and still alive (idiom); a narrow escape/new lease of life,数字成语 Digital idioms,
九牛一毛,jiǔ niú yì máo,lit. one hair from nine oxen (idiom)/fig. a drop in the ocean,数字成语 Digital idioms,
九霄云外,jiǔ xiāo yún wài,beyond the topmost clouds (idiom)/unimaginably far away,数字成语 Digital idioms,
九牛二虎之力,jiǔ niú èr hǔ zhī lì,tremendous strength (idiom),数字成语 Digital idioms,
含笑九泉,hán xiào jiǔ quán,,数字成语 Digital idioms,
十拿九稳,shí ná jiǔ wěn,to be a cinch/in the bag/(of a person) confident of success,数字成语 Digital idioms,
十年寒窗,shí nián hán chuāng,,数字成语 Digital idioms,
十全十美,shí quán shí měi,complete and beautiful/to be perfect (idiom),数字成语 Digital idioms,
十万火急,shí wàn huǒ jí,most urgent/posthaste/express,数字成语 Digital idioms,
十指连心,shí zhǐ lián xīn,,数字成语 Digital idioms,
十冬腊月,shí dōng là yuè,,数字成语 Digital idioms,
神气十足,shén qì shí zú,,数字成语 Digital idioms,
百无禁忌,bǎi wú jìn jì,all taboos are off (idiom); anything goes/nothing is taboo,数字成语 Digital idioms,
百川归海,bǎi chuān guī hǎi,all things tend in one direction (idiom),数字成语 Digital idioms,
百读不厌,bǎi dú bù yàn,to be worth reading a hundred times (idiom),数字成语 Digital idioms,
百发百中,bǎi fā bǎi zhòng,"lit. one hundred shots, one hundred hits/to carry out a task with great precision/to shoot with unfailing accuracy/be a crack shot (idiom)",数字成语 Digital idioms,
百废俱兴,bǎi fèi jù xīng,all neglected tasks are being undertaken (idiom)/work is now underway,数字成语 Digital idioms,
百感交集,bǎi gǎn jiāo jí,all sorts of feelings well up in one's heart,数字成语 Digital idioms,
百花齐放,bǎi huā qí fàng,a hundred flowers bloom (idiom); let the arts have free expression,数字成语 Digital idioms,
百口难辩,bǎi kǒu nán biàn,,数字成语 Digital idioms,
百炼成钢,bǎi liàn chéng gāng,to be tempered into a steel,数字成语 Digital idioms,
百年不遇,bǎi nián bù yù,"only met with once every hundred years (drought, flood etc)",数字成语 Digital idioms,
百年大计,bǎi nián dà jì,a project of vital and lasting importance,数字成语 Digital idioms,
百思不解,bǎi sī bù jiě,to remain puzzled after pondering over sth a hundred times (idiom)/to remain perplexed despite much thought,数字成语 Digital idioms,
百战百胜,bǎi zhàn bǎi shèng,to emerge victorious in every battle/to be ever-victorious,数字成语 Digital idioms,
百依百顺,bǎi yī bǎi shùn,docile and obedient/all obedience,数字成语 Digital idioms,
百折不挠,bǎi zhé bù náo,to keep on fighting in spite of all setbacks (idiom)/to be undaunted by repeated setbacks/to be indomitable,数字成语 Digital idioms,
百孔千疮,bǎi kǒng qiān chuāng,heavily damaged/(fig.) full of holes/riddled with problems,数字成语 Digital idioms,
精神百倍,jīng shén bǎi bèi,lit. vitality a hundredfold (idiom); refreshed/one's vigor thoroughly restored,数字成语 Digital idioms,
百尺竿头，更进一步,bǎi chǐ gān tóu ， gèng jìn yí bù,"lit. after climbing a hundred feet up a pole, one should go even further (idiom)/fig. even if one has achieved a measure of success, one should strive to do even better",数字成语 Digital idioms,
百闻不如一见,bǎi wén bù rú yī jiàn,seeing once is better than hearing a hundred times (idiom); seeing for oneself is better than hearing from many others/seeing is believing,数字成语 Digital idioms,
千变万化,qiān biàn wàn huà,countless changes/constant permutation,数字成语 Digital idioms,
千差万别,qiān chā wàn bié,(idiom) extremely diverse/to vary greatly,数字成语 Digital idioms,
千锤百炼,qiān chuí bǎi liàn,after hard work and numerous revisions (idiom)/the vicissitudes of life,数字成语 Digital idioms,
千方百计,qiān fāng bǎi jì,"lit. thousand ways, a hundred plans (idiom); by every possible means",数字成语 Digital idioms,
千呼万唤,qiān hū wàn huàn,,数字成语 Digital idioms,
千军万马,qiān jūn wàn mǎ,magnificent army with thousands of men and horses (idiom); impressive display of manpower/all the King's horses and all the King's men,数字成语 Digital idioms,
千钧一发,qiān jūn yī fà,a thousand pounds hangs by a thread (idiom)/imminent peril/a matter of life or death,数字成语 Digital idioms,
千里迢迢,qiān lǐ tiáo tiáo,from distant parts,数字成语 Digital idioms,
千门万户,qiān mén wàn hù,,数字成语 Digital idioms,
千难万险,qiān nán wàn xiǎn,,数字成语 Digital idioms,
千篇一律,qiān piān yī lǜ,"thousand articles, same rule (idiom); stereotyped and repetitive/once you've seen one, you've seen them all",数字成语 Digital idioms,
千千万万,qiān qiān wàn wàn,lit. by the thousands and tens of thousands (idiom); untold numbers/innumerable/thousands upon thousands,数字成语 Digital idioms,
千秋万代,qiān qiū wàn dài,throughout the ages,数字成语 Digital idioms,
千山万水,qiān shān wàn shuǐ,,数字成语 Digital idioms,
千丝万缕,qiān sī wàn lǚ,linked in countless ways,数字成语 Digital idioms,
千头万绪,qiān tóu wàn xù,plethora of things to tackle/multitude of loose ends/very complicated/chaotic,数字成语 Digital idioms,
千辛万苦,qiān xīn wàn kǔ,to suffer untold hardships (idiom); trials and tribulations/with difficulty/after some effort,数字成语 Digital idioms,
千言万语,qiān yán wàn yǔ,thousands of words (idiom); having a lot of things to say/talking nonstop,数字成语 Digital idioms,
千真万确,qiān zhēn wàn què,absolutely true (idiom)/manifold/true from many points of view,数字成语 Digital idioms,
千奇百怪,qiān qí bǎi guài,fantastic oddities of every description (idiom),数字成语 Digital idioms,
千姿百态,qiān zī bǎi tài,(idiom) to come in many different shapes; to display a great variety of forms,数字成语 Digital idioms,
千虑一得,qiān lǜ yī dé,"a thousand tries leads to one success (idiom, humble expr.); Even without any notable ability on my part, I may still get it right sometimes by good luck.",数字成语 Digital idioms,
千虑一失,qiān lǜ yī shī,reflect a thousand times and you can still make a mistake (idiom); to err is human,数字成语 Digital idioms,
千载难逢,qiān zǎi nán féng,extremely rare (idiom)/once in a blue moon,数字成语 Digital idioms,
千难万险,qiān nán wàn xiǎn,,数字成语 Digital idioms,
横扫千军,héng sǎo qiān jūn,total annihilation,数字成语 Digital idioms,
万水千山,wàn shuǐ qiān shān,ten thousand crags and torrents (idiom); the trials and tribulations of a long journey/a long and difficult road,数字成语 Digital idioms,
万无一失,wàn wú yī shī,surefire; absolutely safe (idiom),数字成语 Digital idioms,
万众一心,wàn zhòng yī xīn,millions of people all of one mind (idiom); the people united,数字成语 Digital idioms,
万紫千红,wàn zǐ qiān hóng,thousands of purples and reds (idiom); a blaze of color/fig. a profusion of flourishing trades,数字成语 Digital idioms,
万死一生,wàn sǐ yī shēng,,数字成语 Digital idioms,
万籁俱寂,wàn lài jù jì,not a sound to be heard (idiom),数字成语 Digital idioms,
瞬息万变,shùn xī wàn biàn,in an instant a myriad changes (idiom); rapid substantial change,数字成语 Digital idioms,
鼠目寸光,shǔ mù cùn guāng,short-sighted,动物名称成语 animal name idioms,
鼠肚鸡肠,shǔ dù jī cháng,small-minded,动物名称成语 animal name idioms,
鼠窃狗盗,shǔ qiè gǒu dào,,动物名称成语 animal name idioms,【鼠 rat】
投鼠忌器,tóu shǔ jì qì,lit. to refrain from shooting at the rat for fear of breaking the vases (idiom)/to not act against an evil so as to prevent harm to innocents,动物名称成语 animal name idioms,【鼠 rat】
抱头鼠窜,bào tóu shǔ cuàn,to cover one's head and sneak away like a rat (idiom); to flee ignominiously,动物名称成语 animal name idioms,【鼠 rat】
獐头鼠目,zhāng tóu shǔ mù,lit. the head of a river deer and the eyes of a rat (idiom)/fig. repulsively ugly and shifty-looking,动物名称成语 animal name idioms,【鼠 rat】
胆小如鼠,dǎn xiǎo rú shǔ,(idiom) chicken-hearted; gutless,动物名称成语 animal name idioms,【鼠 rat】
牛鬼蛇神,niú guǐ shé shén,evil monsters/(fig.) bad characters/(political) bad elements,动物名称成语 animal name idioms,【鼠 rat】
牛刀小试,niú dāo xiǎo shì,see 小試牛刀|小试牛刀[xiao3 shi4 niu2 dao1],动物名称成语 animal name idioms,【鼠 rat】
牛鼎烹鸡,niú dǐng pēng jī,,动物名称成语 animal name idioms,【牛 ox】
汗牛充栋,hàn niú chōng dòng,lit. enough books to make a pack-ox sweat or to fill a house to the rafters (idiom); fig. many books,动物名称成语 animal name idioms,【牛 ox】
对牛弹琴,duì niú tán qín,lit. to play the lute to a cow (idiom)/fig. offering a treat to an unappreciative audience/to cast pearls before swine/caviar to the general/to preach to deaf ears/to talk over sb's head,动物名称成语 animal name idioms,【牛 ox】
九牛一毛,jiǔ niú yì máo,lit. one hair from nine oxen (idiom)/fig. a drop in the ocean,动物名称成语 animal name idioms,【牛 ox】
气壮如牛,qì zhuàng rú niú,,动物名称成语 animal name idioms,【牛 ox】
牛毛细雨,niú máo xì yǔ,,动物名称成语 animal name idioms,【牛 ox】
泥牛入海,ní niú rù hǎi,lit. a clay ox enters the sea (idiom); fig. to disappear with no hope of returning,动物名称成语 animal name idioms,【牛 ox】
虎视眈眈,hǔ shì dān dān,to glare like a tiger watching his prey (idiom)/to eye covetously,动物名称成语 animal name idioms,【牛 ox】
虎口余生,hǔ kǒu yú shēng,lit. to escape from the tiger's mouth (idiom)/fig. to narrowly escape death,动物名称成语 animal name idioms,【牛 ox】
虎头虎脑,hǔ tóu hǔ nǎo,,动物名称成语 animal name idioms,【虎tiger】
虎背熊腰,hǔ bèi xióng yāo,back of a tiger and waist of a bear/tough and stocky build,动物名称成语 animal name idioms,【虎tiger】
虎头蛇尾,hǔ tóu shé wěi,"lit. tiger's head, snake's tail (idiom); fig. a strong start but weak finish",动物名称成语 animal name idioms,【虎tiger】
虎落平阳,hǔ luò píng yáng,,动物名称成语 animal name idioms,【虎tiger】
虎穴龙潭,hǔ xué lóng tán,,动物名称成语 animal name idioms,【虎tiger】
放虎归山,fàng hǔ guī shān,,动物名称成语 animal name idioms,【虎tiger】
谈虎色变,tán hǔ sè biàn,to turn pale at the mention of a tiger (idiom)/to be scared at the mere mention of,动物名称成语 animal name idioms,【虎tiger】
如虎添翼,rú hǔ tiān yì,lit. like a tiger that has grown wings/with redoubled power (idiom),动物名称成语 animal name idioms,【虎tiger】
骑虎难下,qí hǔ nán xià,"if you ride a tiger, it's hard to get off (idiom); fig. impossible to stop halfway",动物名称成语 animal name idioms,【虎tiger】
为虎作伥,wèi hǔ zuò chāng,(idiom) to act as accomplice to the tiger; to help a villain do evil,动物名称成语 animal name idioms,【虎tiger】
与虎谋皮,yǔ hǔ móu pí,,动物名称成语 animal name idioms,【虎tiger】
藏龙卧虎,cáng lóng wò hǔ,"lit. hidden dragon, crouching tiger (idiom)/fig. talented individuals in hiding/concealed talent",动物名称成语 animal name idioms,【虎tiger】
狐假虎威,hú jiǎ hǔ wēi,lit. the fox exploits the tiger's might (idiom); fig. to use powerful connections to intimidate people,动物名称成语 animal name idioms,【虎tiger】
羊入虎口,yáng rù hǔ kǒu,lit. a lamb in a tiger's den (idiom)/fig. to tread dangerous ground,动物名称成语 animal name idioms,【虎tiger】
狼吞虎咽,láng tūn hǔ yàn,to wolf down one's food (idiom); to devour ravenously/to gorge oneself,动物名称成语 animal name idioms,【虎tiger】
龙行虎步,lóng xíng hǔ bù,,动物名称成语 animal name idioms,【虎tiger】
龙吟虎啸,lóng yín hǔ xiào,,动物名称成语 animal name idioms,【虎tiger】
龙争虎斗,lóng zhēng hǔ dòu,"lit. the dragon wars, the tiger battles (idiom); fierce battle between giants",动物名称成语 animal name idioms,【虎tiger】
龙盘虎踞,lóng pán hǔ jù,,动物名称成语 animal name idioms,【虎tiger】
龙腾虎跃,lóng téng hǔ yuè,lit. dragon soaring and tiger leaping (idiom)/fig. prosperous and bustling/vigorous and active,动物名称成语 animal name idioms,【虎tiger】
生龙活虎,shēng lóng huó hǔ,lit. lively dragon and animated tiger (idiom)/fig. vigorous and lively,动物名称成语 animal name idioms,【虎tiger】
降龙伏虎,xiáng lóng fú hǔ,to vanquish dragons and tigers (idiom),动物名称成语 animal name idioms,【虎tiger】
兔死狐悲,tù sǐ hú bēi,"lit. if the rabbit dies, the fox grieves (idiom); fig. to have sympathy with a like-minded person in distress",动物名称成语 animal name idioms,【虎tiger】
兔死狐悲,tù sǐ hú bēi,"lit. if the rabbit dies, the fox grieves (idiom); fig. to have sympathy with a like-minded person in distress",动物名称成语 animal name idioms,【兔Rabbit】
龙腾虎跃,lóng téng hǔ yuè,lit. dragon soaring and tiger leaping (idiom)/fig. prosperous and bustling/vigorous and active,动物名称成语 animal name idioms,【兔Rabbit】
龙飞凤舞,lóng fēi fèng wǔ,flamboyant or bold cursive calligraphy (idiom),动物名称成语 animal name idioms,【兔Rabbit】
龙马精神,lóng mǎ jīng shén,old but still full of vitality (idiom),动物名称成语 animal name idioms,【龙Dragon】
龙凤呈祥,lóng fèng chéng xiáng,the dragon and phoenix are symbols of good fortune (idiom)/auspicious/decorated with auspicious symbols such as the dragon and the phoenix,动物名称成语 animal name idioms,【龙Dragon】
画龙点睛,huà lóng diǎn jīng,to paint a dragon and dot in the eyes (idiom); fig. to add the vital finishing touch/the crucial point that brings the subject to life/a few words to clinch the point,动物名称成语 animal name idioms,【龙Dragon】
来龙去脉,lái lóng qù mài,the rise and fall of the terrain (idiom)/(fig.) the whole sequence of events/causes and effects,动物名称成语 animal name idioms,【龙Dragon】
攀龙附凤,pān lóng fù fèng,see 扳龍附鳳|扳龙附凤[ban1 long2 fu4 feng4],动物名称成语 animal name idioms,【龙Dragon】
群龙无首,qún lóng wú shǒu,lit. a thunder of dragons without a head/fig. a group lacking a leader,动物名称成语 animal name idioms,【龙Dragon】
望子成龙,wàng zi chéng lóng,lit. to hope one's son becomes a dragon (idiom); fig. to long for one' s child to succeed in life/to have great hopes for one's offspring/to give one's child the best education as a career investment,动物名称成语 animal name idioms,【龙Dragon】
车水马龙,chē shuǐ mǎ lóng,endless stream of horse and carriages (idiom)/heavy traffic,动物名称成语 animal name idioms,【龙Dragon】
人中之龙,rén zhōng zhī lóng,,动物名称成语 animal name idioms,【龙Dragon】
叶公好龙,yè gōng hào lóng,lit. Lord Ye's passion for dragons (idiom)/fig. to pretend to be fond of sth while actually fearing it/ostensible fondness of sth one really fears,动物名称成语 animal name idioms,【龙Dragon】
降龙伏虎,xiáng lóng fú hǔ,to vanquish dragons and tigers (idiom),动物名称成语 animal name idioms,【龙Dragon】
老态龙钟,lǎo tài lóng zhōng,doddering; senile,动物名称成语 animal name idioms,【龙Dragon】
笔走龙蛇,bǐ zǒu lóng shé,,动物名称成语 animal name idioms,【龙Dragon】
龙潭虎穴,lóng tán hǔ xué,lit. dragon's pool and tiger's den (idiom)/fig. dangerous place/hostile territory,动物名称成语 animal name idioms,【龙Dragon】
蛇蝎心肠,shé xiē xīn cháng,,动物名称成语 animal name idioms,【龙Dragon】
画蛇添足,huà shé tiān zú,lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous/to overdo it,动物名称成语 animal name idioms,【龙Dragon】
惊蛇入草,jīng shé rù cǎo,,动物名称成语 animal name idioms,【蛇snake】
龙蛇混杂,lóng shé hùn zá,lit. dragons and snakes mingle (idiom)/fig. a mix of good people and scumbags,动物名称成语 animal name idioms,【蛇snake】
杯弓蛇影,bēi gōng shé yǐng,lit. to see a bow reflected in a cup as a snake (idiom); fig. unnecessary suspicions/overly fearful,动物名称成语 animal name idioms,【蛇snake】
牛鬼蛇神,niú guǐ shé shén,evil monsters/(fig.) bad characters/(political) bad elements,动物名称成语 animal name idioms,【蛇snake】
打草惊蛇,dǎ cǎo jīng shé,lit. beat the grass to scare the snake (idiom)/fig. to inadvertently alert an enemy/to punish sb as a warning to others,动物名称成语 animal name idioms,【蛇snake】
虚与委蛇,xū yǔ wēi yí,to feign civility (idiom),动物名称成语 animal name idioms,【蛇snake】
笔走龙蛇,bǐ zǒu lóng shé,,动物名称成语 animal name idioms,【蛇snake】
春蚓秋蛇,chūn yǐn qiū shé,,动物名称成语 animal name idioms,【蛇snake】
马到成功,mǎ dào chéng gōng,to win instant success (idiom),动物名称成语 animal name idioms,【蛇snake】
马不停蹄,mǎ bù tíng tí,unrelenting/without stopping to rest,动物名称成语 animal name idioms,【蛇snake】
马革裹尸,mǎ gé guǒ shī,to be buried in a horse hide (idiom)/to give one's life on the battlefield,动物名称成语 animal name idioms,【马horse】
一马当先,yī mǎ dāng xiān,(idiom) to take the lead,动物名称成语 animal name idioms,【马horse】
老马识途,lǎo mǎ shí tú,an old horse knows the way (idiom); an experienced worker knows what to do/an old hand knows the ropes,动物名称成语 animal name idioms,【马horse】
汗马功劳,hàn mǎ gōng láo,war exploits/(fig.) heroic contribution,动物名称成语 animal name idioms,【马horse】
万马齐喑,wàn mǎ qí yīn,"thousands of horses, all mute (idiom); no-one dares to speak out/an atmosphere of political oppression",动物名称成语 animal name idioms,【马horse】
一马平川,yī mǎ píng chuān,flat land one could gallop straight across (idiom); wide expanse of flat country,动物名称成语 animal name idioms,【马horse】
天马行空,tiān mǎ xíng kōng,"like a heavenly steed, soaring across the skies (idiom)/(of writing, calligraphy etc) bold and imaginative/unconstrained in style",动物名称成语 animal name idioms,【马horse】
快马加鞭,kuài mǎ jiā biān,to spur the horse to full speed (idiom)/to go as fast as possible,动物名称成语 animal name idioms,【马horse】
